thread_id,title,project_id,source_family,canonical_destination,adjudication_status,evidence_scope,read_status,critical_boundary
6a7f86b8-4c08-83eb-ab8c-50be41a7759e,UCII freeze completed but Library persistence pending,g-p-6a79e4ce12b0819192d439539b012bb0,BayME EVE,HBP,ADJUDICATED_SPLIT_UCII_IPI_WITH_LEGACY_INVALIDITY,"HBP Argentina UCII and separately frozen IPI",READ_TO_EOF,"UCII historical freeze preserved but nonauthoritative under corrected Z_post semantics because residual gamma plus refit double-counted evidence; IPI remains separate immutable payload-recovery pending"
6a7586d2-a348-83eb-a832-4afea5235491,Freeze BayME Galicia,g-p-6a79e4ce12b0819192d439539b012bb0,BayME,BPM,ADJUDICATED,BPM Galicia xurelo prospective freezes and source failures,READ_TO_EOF,"OUT_OF_SUPPORT distributions preserved; 14 August MISSED_FREEZE; Library HTTP 502 episodes"
6a7631c8-5e7c-83eb-8c06-13b090137f67,Andalucia freeze confirmed for Monday 10,g-p-6a79e4ce12b0819192d439539b012bb0,BayME,BPM,ADJUDICATED,BPM Andalusia seven branches and sequential freezes,READ_TO_EOF,"13 August MISSED_FREEZE preserved; 14 and 17 local freezes not remotely persisted"
6a761bc4-e664-83eb-a6eb-895567fa0027,BayME wins locally and learns for the next round,g-p-6a79e4ce12b0819192d439539b012bb0,BayME,BPM,ADJUDICATED,BPM Galicia xurelo local wins losses Z-XPL and learning,READ_TO_EOF,"Local scores mixed; frontier probe not yet authoritative; parent materialization failures preserved"
6a776430-9898-83eb-bb19-520e0511f371,BayME IPC julio,g-p-6a79e4ce12b0819192d439539b012bb0,BayME EVE,HBP,ADJUDICATED_JULY_CLOSED_AUGUST_FROZEN,"HBP Argentina credit private M3 and national CPI",READ_TO_EOF,"Three target-local density and point-score conclusions; August outcome pending in source chronology; payload bytes not locally recovered"
6a76997d-2e34-83eb-adc0-1c532b1b9c30,BayME completes Andalusia learning cycle,g-p-6a79e4ce12b0819192d439539b012bb0,BayME,BPM,ADJUDICATED,BPM Andalusia species and layer-specific outcomes,READ_TO_EOF,"No global winner claim; pooling and species branches remain separate"
6a6bc1f7-a590-83eb-b9ee-e0c04f432ea2,BayME_eur0stats_agosto_opcion_b,g-p-6a79e4ce12b0819192d439539b012bb0,BayME EVE,HBP,ADJUDICATED_HISTORICAL_AUGUST_FROZEN_JULY_NOT_ESTIMABLE,"HBP European Union 27 countries and 351 pairwise edges",READ_TO_EOF,"Local edge authority only; July 2026 remains NOT_ESTIMABLE_INCOMPLETE_PANEL with 0/27 country outcomes; payload bytes not locally recovered"
6a7d7994-dda4-83eb-aa41-6a525375d901,Sistematizacion de fronteras,g-p-6a79e4ce12b0819192d439539b012bb0,BayME,UNCLASSIFIED_PENDING_CONTENT_REVIEW,CROSS_CUTTING_CUSTODY,READ_TO_EOF,"The at-least-12 statement is an older lower bound; the current project list exposes 15 ChatGPT threads"
6a7d76e0-1388-83eb-9341-440209581692,Reactivacion microeconomica y BMA,g-p-6a79e4ce12b0819192d439539b012bb0,BayME and BMA,BPM,ADJUDICATED,BPM Galicia Andalusia Mercabarna floral clock auction and separate export experiment,READ_TO_EOF,"Mercabarna fruits vegetables flowers and plants; floral clock auction and export remain distinct"
6a6e259c-79d4-83eb-b8dd-6a89bd0ced83,Cosecha Andalucia,g-p-6a79e4ce12b0819192d439539b012bb0,BayME,BPM,ADJUDICATED,BPM Andalusia CTC PAC MUR OCC MUT joint and selective pooling,READ_TO_EOF,"Retrospective and prospective jurisdictions separate; local wins losses ties pending and out-of-support preserved"
